notes,explanation,label
"The derivative of a function at a point represents the instantaneous rate of change at that point.","The derivative always gives the total area under the curve.",0
"The definite integral of a function over an interval represents the signed area under the curve on that interval.","The definite integral gives the net area under the curve between the bounds.",1
"The definite integral of a function over an interval represents the signed area under the curve on that interval.","The definite integral always represents the slope of the tangent line.",0
"For matrix multiplication, the inner dimensions must match and the result has the outer dimensions.","To multiply matrices, the number of columns of the first must equal the number of rows of the second.",1
"For matrix multiplication, the inner dimensions must match and the result has the outer dimensions.","Any two matrices of any size can always be multiplied in any order.",0
"The normal distribution is symmetric, bell-shaped, and described by its mean and standard deviation.","A normal distribution is symmetric around the mean with most values near the mean.",1
"The normal distribution is symmetric, bell-shaped, and described by its mean and standard deviation.","A normal distribution is always skewed heavily to the right.",0
"The p-value in hypothesis testing is the probability of observing data at least as extreme as the sample, assuming the null hypothesis is true.","A small p-value means the observed data would be unlikely if the null hypothesis were true.",1
"The p-value in hypothesis testing is the probability of observing data at least as extreme as the sample, assuming the null hypothesis is true.","A large p-value always proves the null hypothesis is true.",0
"A confidence interval gives a range of plausible values for a population parameter based on sample data.","A 95 percent confidence interval means we use a method that captures the true parameter 95 percent of the time in repeated samples.",1
"A confidence interval gives a range of plausible values for a population parameter based on sample data.","A 95 percent confidence interval means there is a 95 percent chance the already computed interval will change its endpoints.",0
"Correlation measures the strength and direction of a linear relationship between two variables but does not imply causation.","A high correlation does not prove that one variable causes changes in the other.",1
"Correlation measures the strength and direction of a linear relationship between two variables but does not imply causation.","If two variables are correlated, one must definitely cause the other.",0
"Overfitting in machine learning happens when a model learns noise in the training data and performs poorly on new data.","An overfitted model works very well on training data but generalizes badly to unseen data.",1
"Overfitting in machine learning happens when a model learns noise in the training data and performs poorly on new data.","Overfitting means the model is always simple and underestimates the patterns in the data.",0
"Gradient descent is an iterative optimization algorithm that moves in the direction of the negative gradient to minimize a loss function.","Gradient descent updates parameters by moving opposite to the gradient to reduce loss.",1
"Gradient descent is an iterative optimization algorithm that moves in the direction of the negative gradient to minimize a loss function.","Gradient descent always jumps directly to the global minimum in a single step.",0
"In supervised learning, models are trained on labeled data consisting of input output pairs.","Supervised learning uses labeled examples where the correct answer is known.",1
"In supervised learning, models are trained on labeled data consisting of input output pairs.","Supervised learning never uses labels and only discovers structure on its own.",0
